lat,lon,name
36.4601198068792,140.5533146085942,パパディッシュ
36.47648872921379,140.56579356240547,○祐 まるすけ
36.46827532688865,140.56482796715324,日本料理 松臣
36.46089174918376,140.5947435461015,お食事処おるりば
36.49274116163049,140.61532695774014,海鮮茶屋 濱膳
36.49265490901503,140.61526258472335,みなと町横丁商店街
36.47914320355676,140.60168057308468,悠久庵
36.46723638706985,140.5425877693788,マルカワ食堂
36.46829097595741,140.5723199154124,マドモアゼル
36.468912187943346,140.5754098202196,グルヌイユ
36.4370292220385,140.59450877308473,うどん市 村松店
36.46886886144438,140.56868231541242,やんしゅうばんや八角
36.439896771002,140.5599835423956,和風レストラン 住吉
36.47280208978381,140.56124403075697,ホルモン焼竹のこ
36.461056379209545,140.58508398842923,こはく
36.47342970683092,140.57098820006786,ばんどう太郎 東海店
36.46561288209669,140.5721254566983,牛新 東海店
36.46269785179186,140.58645697929106,おもてなし料理 華れん
36.46720049349674,140.56378403297805,横浜らーめん 椿家
36.472083844385224,140.56978145237807,ぶどう亭
36.45527100040986,140.54888717119778,カフェ サイタニヤ
36.467956248380105,140.55565310003394,ピッツェリア ラ·ジネストラ
36.44142769846805,140.5937534846894,もぐり
36.48034131956078,140.55831722887007,餃子坊 東海店
36.46951594063104,140.5663509442146,モスバーガー東海村店
36.49253707813231,140.61567113072306,道の駅 日立おさかなセンター
36.491052183625186,140.56607652887007,まつ食堂
36.48164493003809,140.5593299711978,なか食堂
36.471399897545716,140.54995964236164,チロルの村
36.467953520353724,140.56284167119784,ティアラ（Tiara)
36.47281094138165,140.56063153095383,バーミヤン 東海村店
36.467461721860204,140.56462265799644,うどんれすとらん へんこつ 東海店
36.46713385446452,140.56450464079893,アジア・インドレストラン マナカマナ東海本店
36.46557215125837,140.5583033735123,グルービー 東海本店
36.451329897516004,140.53955350188693,フライングガーデン 笠松運動公園前店
36.46491389430723,140.58147287305076,すき家 東海店
36.465267656041675,140.5811295502944,洋風ダイニング パレット
36.46292071875825,140.58692312180784,いこい
36.46346431717138,140.58689093529944,ココス 東海店
36.453178493402596,140.5720206135255,東里
36.46539097951439,140.57995167305077,オリーブ
36.46031599086664,140.5960723711978,つるや 生そば さ々めうどん
36.4618543751192,140.58507232887004,東善房
36.461414310417545,140.59181003796348,洋食屋ポニー
36.45944337946104,140.59554547305078,魚康本店
36.46746254588749,140.59533575770624,トラットリア パラン
