lat,lon,name,genre
35.03345060911244,135.78012492744483,里乃家,焼き肉
35.02872735652544,135.78717103879518,さい菜ごはん,居酒屋
35.03386852905261,135.7803478034703,瑞香園,中華料理店
35.03021763011859,135.7748228004643,おむらはうす 出町柳店,日本式洋食レストラン
35.02813654132261,135.7901572541414,プリモ ピアーノ,イタリア料理店
35.02927867875897,135.785801350485,SANGO (サンゴ),北東インド料理店
35.02896731817485,135.7773266888302,めん処 譽紫,蕎麦店
35.03326286600591,135.78059919598078,本格中華料理 火楓源,中華料理店
35.03387454338338,135.7803843271473,姑蘇里（こそり）,レストラン
35.02529492364955,135.77621088982562,とくらお食事処,レストラン
35.02942415954342,135.77949391381983,凜屋 百万遍店,イタリア料理店
35.03453709450836,135.78101740857375,四川亭,担々麺屋
35.034350137230334,135.78058093038445,五十碗四川刀削麺,四川料理店
35.03492014096134,135.7841051427912,キッチンごりら,日本式洋食レストラン
35.03355654850179,135.78383328020882,ひらがな館,日本式洋食レストラン
35.03346623728454,135.78082618610458,とんかつ処 おくだ,とんかつ店
35.03338787740671,135.78085106780927,ケニア,レストラン
35.03370231190605,135.77941534443252,くいしんぼ,鉄板焼き店
35.0334795209114,135.77997150957773,四川料理 方圆美味,四川料理店
35.03353048118199,135.7794113726618,AMERICAN MONSTER BURGER 京都,ハンバーガー店
35.03002738348736,135.77908892212045,ASH FORK,アメリカ料理店
35.029841793358976,135.7793303209436,キラメキJAPAN,ラーメン屋
35.02989230905698,135.7793584841396,ジェイムスキッチン,洋食レストラン
35.029156378123815,135.77914090432958,こあの助,タイ料理店
35.029213623711584,135.77816305892443,百万遍 大力餅,定食屋
35.02969899450888,135.77645998223818,串揚げ 串焼き 棒野,居酒屋
35.028774663643446,135.78099258223813,ハイライト食堂 百万遍本店,定食屋
35.02878894000851,135.78076593556528,アジアンキッチン サロマーン,インド料理店
35.02877356546139,135.78105963746677,インド料理RAJU 京大前店,インド料理店
35.02874678458532,135.78113436680454,サコ、ブーン,レストラン
35.03171636182842,135.79168321067053,福仙楼 北白川店,ラーメン屋
35.03120725487451,135.79138442979936,ラーメン あかつき,ラーメン屋
35.02877034910407,135.78804681784885,かもん,寿司店
35.02857487245976,135.78773836379713,goya,郷土料理店
35.02858805067519,135.78764448647703,マハカレー Main Shop,ネパール料理店
35.028851614537736,135.787625711013,タイ料理 カトーコバーン食堂,タイ料理店
35.028758120033125,135.78686352889454,まつお,ちゃんぽん麺レストラン
35.02853603830637,135.78506922889457,吉田チキン 京大前店,鶏料理店
35.028845725954554,135.78513360191405,キッチン 松之助,日本式洋食レストラン
35.02870136366313,135.78411744609699,カフェ コレクション,カフェ・喫茶
35.02850301451177,135.78480109937053,順菜,居酒屋
35.02894168275537,135.7775851307829,中華そば・たく味,ラーメン屋
35.02984197151192,135.78397224072168,京都大学生活協同組合 北部食堂,レストラン
